cycle_size,lstm_baseline,lstm_bidirectional,lstm_multiheadatt,lstm_simpleatt
1,0.4643,0.4643,0.4762,0.4802
2,0.4603,0.5,0.5,0.4683
3,0.4405,0.4405,0.4643,0.369
4,0.4286,0.381,0.4524,0.381
5,0.4762,0.4286,0.5,0.5476
6,0.4762,0.4286,0.4524,0.381
