cycle_size,lstm_baseline,lstm_bidirectional,lstm_multiheadatt,lstm_simpleatt
1,0.4167,0.3889,0.2778,0.4167
2,0.4444,0.3889,0.2778,0.5556
3,0.75,0.5,0.1667,0.5833
4,0.5,1.0,0.6667,0.8333
5,0.5,0.6667,0.8333,0.6667
6,0.6667,0.8333,0.8333,0.8333
