cycle_size,lstm_baseline,lstm_bidirectional,lstm_multiheadatt,lstm_simpleatt
1,0.8056,0.8333,0.8056,0.8056
2,0.6111,0.7778,0.7222,0.7778
3,0.8333,0.9167,0.75,0.6667
4,0.6667,0.8333,0.6667,0.6667
5,0.6667,0.5,0.6667,0.6667
6,0.6667,0.5,0.5,0.5
