cycle_size,lstm_baseline,lstm_bidirectional,lstm_multiheadatt,lstm_simpleatt
1,0.9722,0.9722,0.9167,1.0
2,0.8333,0.8333,0.9444,0.8333
3,0.8333,0.8333,0.8333,0.75
4,0.8333,0.6667,0.8333,0.8333
5,0.8333,0.8333,0.8333,0.6667
6,0.8333,0.8333,0.8333,0.8333
